Reference;Value;Qty
C1,C5,C7,C8,C9,C16,C20,C24,C29,C32,C35,C37,C42,C44,C46,C47,C48,C49,C52,C57,C58,C61,C62;0.1uF;23
C2,C14,C31,C36;1uF;4
C3,C4;2.2uF;2
C6;4.7uF;1
C10;0.1uf;1
C11,C13,C28;47uF;3
C12,C23;20pF;2
C15,C17,C18,C19,C21,C22,C25,C26,C30,C33,C34,C40,C43,C45,C50,C53,C55,C56,C59,C60;10uF;20
C27,C38;10nF;2
C39,C41;22uF;2
C51,C54;APV0609471M010R;2
D1;1N4148WS;1
D2,D10,D12;1N5819HW-7;3
D3,D4,D5,D6,D7,D8,D9,D13,D14,D15,D16,D17;LED;12
D11;LTST-G563ZEGBW;1
D18,D19,D20,D21;SFH-4550;4
FB1;ACML-0402HC-121-T;1
J1,J10;AS5048_Izq;2
J2,J11;AS5048_Der;2
J3;MOT_FAN;1
J4;IR_LAT_Der;1
J5;IR_LAT_Izq;1
J6;ST_LINK;1
J7;IR_FRONT_Der;1
J8;IR_FRONT_Izq;1
J9;Lipo;1
J12;MOT_I;1
J13;MOT_D;1
J14;IR_1;1
J15;IR_3;1
J16;IR_2;1
J17;IR_4;1
JP1;SolderJumper_2_Open;1
L1;BMRA000404202R2MA1;1
LS1;Buzzer;1
Q1,Q2,Q4,Q5,Q8,Q9;AO3400A;6
Q3;AON7423;1
Q6,Q7,Q10,Q11;ST-1KL3A;4
R1,R5,R6,R18,R35,R37;10k;6
R2,R17;47K;2
R3;27K;1
R4;220;1
R7;1K;1
R8;10K;1
R9;47k;1
R10,R11,R12,R13,R14,R15,R16,R19,R20,R21,R23,R24,R25,R26,R27;330;15
R22;51k;1
R28;100K;1
R29;33K;1
R30;4.7K;1
R31,R32,R33,R34,R39,R40,R45,R46;4.7k;8
R36,R38;0.05;2
R41,R42,R47,R48;20;4
R43,R44,R49,R50;3.3k;4
S1;CUS-12TB;1
S2;BTN_NRST;1
S3;BTN_1;1
S4;BTN_2;1
S5;BTN_3;1
U1;STM32F405RGTx;1
U2;MP2359DJ-LF-Z;1
U3;ME6211C30M5G;1
U4,U5;AS5048B-HTSP;2
U6;LSM6DSRTR;1
U7,U9;MP6551GQB-Z;2
U8,U10;AD8418AWHRZ;2
Y1;8MHz;1
